ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
66255,U08-002,2022AR08B,Valide,1,4,4,4,4,4,4,4,4,1,4,11,2,0,0,9,0
66256,U08-004,2022AR08A,Valide,1,1,novote,novote,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
66269,U08-004,2022AR08A,Valide,2,2,novote,novote,3,1,novote,novote,novote,novote,novote,4,1,2,1,0,7
66283,U08-001,2022AR08A,Valide,1,1,novote,novote,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,7
66291,U08-002,2022AR08B,Valide,2,3,2,1,4,3,2,3,4,2,1,11,2,4,3,2,0
66304,U08-002,2022AR08B,Valide,1,2,2,2,2,2,2,2,2,1,1,11,3,8,0,0,0
66305,U08-004,2022AR08A,Valide,4,4,2,4,3,4,4,3,4,1,3,11,1,1,3,6,0
66311,U08-002,2022AR08A,Nul,1 2,1 2,1 2,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,8
66320,U08-007,2022AR08B,Valide,2,1,1,2,2,1,1,1,1,1,1,11,8,3,0,0,0
66321,U08-004,2022AR08A,Valide,3,2,4,4,4,4,4,4,4,1,1,11,2,1,1,7,0
66328,U08-002,2022AR08B,Valide,1,novote,novote,1,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,7
66333,U08-002,2022AR08A,Valide,2,2,novote,novote,novote,novote,novote,novote,2,novote,2,4,0,4,0,0,7
66340,U08-002,2022AR08B,Valide,1,1,1,4,1,2,4,4,4,1,1,11,6,1,0,4,0
66351,U08-002,2022AR08A,Valide,3,novote,1,2,novote,novote,2,2,2,1,2,8,2,5,1,0,3
66356,U08-004,2022AR08A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,1,0,1,0,0,10
66357,U08-002,2022AR08A,Valide,1,3,3,4,3,2,3,3,3,1,3,11,2,1,7,1,0
66365,U08-004,2022AR08A,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
66371,U08-002,2022AR08B,Valide,1,3,3,3,1,1,2,2,2,1,3,11,4,3,4,0,0
66373,U08-001,2022AR08B,Valide,1,1,1,1,1,4,1,1,1,1,3,11,9,0,1,1,0
66377,U08-004,2022AR08A,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
66379,U08-002,2022AR08A,Valide,2,2,novote,novote,novote,novote,novote,novote,novote,2,2,4,0,4,0,0,7
66386,U08-008,2022AR08A,Nul,1,novote,1,novote,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,8
66396,U08-002,2022AR08B,Valide,1,3,2,2,2,2,2,2,2,1,1,11,3,7,1,0,0
66404,U08-004,2022AR08A,Nul,2,2,3,3,2,3,2,2 3,2,1,1,10,2,5,3,0,0
66410,U08-001,2022AR08A,Valide,1,novote,1,novote,novote,2,2,novote,novote,novote,novote,4,2,2,0,0,7
66412,U08-002,2022AR08B,Valide,2,2,2,2,2,1,2,novote,2,2,1,10,2,8,0,0,1
66418,U08-002,2022AR08B,Valide,novote,1,novote,novote,novote,1,novote,novote,novote,4,2,4,2,1,0,1,7
66423,U08-008,2022AR08A,Valide,1,novote,1,novote,1,novote,novote,novote,1,novote,novote,4,4,0,0,0,7
66425,U08-001,2022AR08A,Valide,1,1,1,4,4,1,1,1,1,4,4,11,7,0,0,4,0
66430,U08-002,2022AR08A,Valide,1,novote,1,novote,2,novote,novote,novote,novote,1,novote,4,3,1,0,0,7
66442,U08-002,2022AR08B,Valide,1,1,3,3,3,3,3,3,3,2,3,11,2,1,8,0,0
66448,U08-002,2022AR08A,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,1,5,5,0,0,0,6
66449,U08-004,2022AR08A,Valide,1,1,2,novote,1,3,3,novote,novote,novote,2,7,3,2,2,0,4
66459,U08-003,2022AR08B,Valide,4,2,2,2,1,1,3,3,3,3,2,11,2,4,4,1,0
66464,U08-007,2022AR08B,Valide,1,1,novote,novote,novote,novote,novote,3,3,1,novote,5,3,0,2,0,6
66477,U08-004,2022AR08B,Valide,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,4,2,2,0,0,7
66486,U08-002,2022AR08B,Valide,1,3,1,1,3,3,1,4,4,1,1,11,6,0,3,2,0
66490,U08-007,2022AR08B,Valide,1,1,1,1,novote,novote,novote,novote,novote,1,novote,5,5,0,0,0,6
66498,U08-002,2022AR08B,Valide,2,1,3,2,3,2,3,2,3,2,2,11,1,6,4,0,0
