ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
11598,U16-004,2022AR16B,Valide,1,2,2,2,1,2,2,3,1,2,10,3,6,1,0,0
11606,U16-004,2022AR16A,Valide,novote,novote,1,1,novote,2,1,novote,novote,1,5,4,1,0,0,5
11607,U16-004,2022AR16B,Valide,3,3,2,3,1,2,2,1,novote,1,9,3,3,3,0,1
11622,U16-004,2022AR16B,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,2,2,1,1,0,0,8
11626,U16-004,2022AR16A,Valide,2,2,1,2,3,3,2,2,2,4,10,1,6,2,1,0
11630,U16-004,2022AR16B,Valide,novote,novote,1,novote,1,novote,novote,1,1,novote,4,4,0,0,0,6
11631,U16-004,2022AR16A,Valide,novote,novote,novote,novote,1,2,novote,novote,1,1,4,3,1,0,0,6
11634,U16-004,2022AR16A,Valide,2,2,2,novote,novote,novote,novote,novote,1,novote,4,1,3,0,0,6
11645,U16-004,2022AR16A,Valide,2,2,2,2,3,2,4,3,3,2,10,0,6,3,1,0
11646,U16-004,2022AR16A,Valide,novote,novote,2,2,2,novote,3,novote,3,novote,5,0,3,2,0,5
11656,U16-004,2022AR16B,Valide,novote,novote,1,novote,novote,novote,1,novote,1,1,4,4,0,0,0,6
11662,U16-004,2022AR16A,Valide,novote,2,1,2,novote,1,2,3,1,1,8,4,3,1,0,2
11664,U16-004,2022AR16A,Valide,3,1,1,3,1,1,1,1,1,1,10,8,0,2,0,0
11669,U16-004,2022AR16B,Valide,1,2,2,3,2,2,3,3,2,3,10,1,5,4,0,0
11675,U16-004,2022AR16A,Valide,1,1,1,1,2,1,1,1,1,1,10,9,1,0,0,0
11678,U16-004,2022AR16B,Valide,2,2,1,2,2,1,1,1,2,2,10,4,6,0,0,0
11686,U16-004,2022AR16B,Valide,novote,novote,2,novote,novote,1,2,novote,1,novote,4,2,2,0,0,6
11688,U16-004,2022AR16B,Valide,novote,novote,novote,2,1,novote,1,novote,1,novote,4,3,1,0,0,6
11696,U16-004,2022AR16A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
11703,U16-004,2022AR16B,Valide,2,2,2,3,2,3,3,3,3,3,10,0,4,6,0,0
11715,U16-004,2022AR16A,Valide,4,3,3,3,1,2,2,3,2,3,10,1,3,5,1,0
11717,U16-004,2022AR16A,Valide,novote,1,novote,novote,novote,1,1,novote,1,novote,4,4,0,0,0,6
11738,U16-004,2022AR16A,Valide,2,novote,novote,novote,novote,2,1,novote,1,novote,4,2,2,0,0,6
11741,U16-004,2022AR16A,Valide,novote,1,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
11743,U16-004,2022AR16A,Valide,3,4,2,3,1,2,2,3,2,3,10,1,4,4,1,0
11744,U16-004,2022AR16A,Valide,1,1,1,1,1,1,novote,1,1,1,9,9,0,0,0,1
11745,U16-004,2022AR16A,Valide,1,4,novote,novote,1,2,1,novote,1,novote,6,4,1,0,1,4
11748,U16-004,2022AR16A,Valide,novote,novote,novote,novote,2,novote,novote,1,1,1,4,3,1,0,0,6
