ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
4545,U07-005,2022AR07B,Valide,novote,1,novote,1,novote,novote,novote,1,novote,1,4,4,0,0,0,6
4548,U07-003,2022AR07A,Valide,4,novote,novote,novote,2,novote,4,1,novote,novote,4,1,1,0,2,6
4551,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,2,novote,1,1,novote,4,2,2,0,0,6
4553,U07-005,2022AR07B,Valide,4,1,1,1,4,4,4,3,2,2,10,3,2,1,4,0
4555,U07-005,2022AR07A,Valide,2,2,1,1,2,2,2,2,2,2,10,2,8,0,0,0
4557,U07-005,2022AR07B,Valide,1,3,2,1,3,2,3,2,2,3,10,2,4,4,0,0
4559,U07-005,2022AR07B,Valide,4,1,1,1,4,3,4,1,2,1,10,5,1,1,3,0
4563,U07-005,2022AR07A,Valide,novote,novote,novote,novote,1,1,1,1,1,1,6,6,0,0,0,4
4565,U07-005,2022AR07A,Valide,novote,2,novote,2,1,novote,novote,1,novote,novote,4,2,2,0,0,6
4568,U07-003,2022AR07B,Valide,1,3,3,3,3,3,3,3,2,3,10,1,1,8,0,0
4571,U07-005,2022AR07B,Valide,novote,3,3,1,4,novote,novote,novote,novote,novote,4,1,0,2,1,6
4578,U07-005,2022AR07B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
4580,U07-005,2022AR07A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4582,U07-005,2022AR07A,Valide,2,1,1,1,2,1,2,2,2,1,10,5,5,0,0,0
4584,U07-005,2022AR07A,Nul,2,novote,novote,1,novote,novote,novote,novote,novote,2,3,1,2,0,0,7
4586,U07-005,2022AR07A,Valide,2,1,3,2,3,3,3,1,2,3,10,2,3,5,0,0
4588,U07-005,2022AR07A,Valide,1,1,2,novote,novote,novote,novote,1,novote,1,5,4,1,0,0,5
4590,U07-005,2022AR07B,Valide,novote,1,1,novote,1,1,1,1,novote,novote,6,6,0,0,0,4
4602,U07-005,2022AR07A,Valide,3,3,3,1,3,3,3,3,3,novote,9,1,0,8,0,1
4604,U07-005,2022AR07B,Valide,2,2,novote,1,novote,novote,novote,2,novote,novote,4,1,3,0,0,6
4610,U07-005,2022AR07A,Nul,novote,1,novote,1,novote,novote,novote,1,novote,novote,3,3,0,0,0,7
