ID,Urne,QR-Code,Categorie,1 - Favoriser la pratique sportive dans le 15e,2 - Un nouvel espace d escalade au centre sportif La Plaine,3 - Un 15e encore plus solidaire,4 - Un cafe des enfants,5 - Un coup de vert dans le 15e,6 - Des cours d ecoles renovees pour le bien-etre des ecoliers,7 - Des tableaux numeriques interactifs dans toutes les ecoles maternelles,8 - Un kit mobile multimedia pour la jeunesse,9 - Restaurons les decors de Saint-Christophe de Javel,10 - Le renouveau des Freres Voisin,11 - Un espace public pacifie et adapte a tous,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
144760,U15-007,2022AR15A,Valide,1,1,2,4,1,1,1,1,4,1,1,11,8,1,0,2,0
144903,U15-007,2022AR15A,Valide,1,1,4,1,1,2,1,1,1,1,2,11,8,2,0,1,0
144913,U15-003,2022AR15B,Valide,novote,novote,1,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
144982,U15-003,2022AR15B,Valide,1,1,novote,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,7
145043,U15-007,2022AR15A,Valide,1,novote,novote,novote,1,1,novote,novote,novote,novote,1,4,4,0,0,0,7
145045,U15-003,2022AR15B,Valide,2,2,novote,novote,1,novote,novote,novote,1,novote,novote,4,2,2,0,0,7
145066,U15-007,2022AR15A,Valide,1,novote,1,novote,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,7
145088,U15-007,2022AR15A,Valide,1,4,4,2,2,2,1,2,4,3,novote,10,2,4,1,3,1
145109,U15-007,2022AR15A,Valide,1,novote,2,2,2,novote,novote,novote,novote,novote,novote,4,1,3,0,0,7
145220,U15-007,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
145264,U15-007,2022AR15A,Nul,2,novote,novote,novote,1,novote,novote,novote,1,novote,novote,3,2,1,0,0,8
145314,U15-007,2022AR15A,Valide,2,2,2,3,2,3,3,2,3,3,2,11,0,6,5,0,0
145432,U15-007,2022AR15A,Nul,1,3,4,4,1,1,1,4,4,1 4,4,10,4,0,1,5,0
145477,U15-007,2022AR15A,Valide,1,1,1,novote,novote,1,novote,novote,1,novote,1,6,6,0,0,0,5
145499,U15-007,2022AR15A,Valide,3,3,1,1,1,1,4,4,2,2,2,11,4,3,2,2,0
145513,U15-007,2022AR15A,Nul,1,novote,novote,novote,1,novote,novote,novote,novote,novote,1,3,3,0,0,0,8
145587,U15-007,2022AR15A,Valide,1,1,novote,1,novote,1,novote,novote,novote,1,1,6,6,0,0,0,5
145708,U15-007,2022AR15A,Valide,1,3,2,1,2,3,4,1,2,1,2,11,4,4,2,1,0
145791,U15-007,2022AR15A,Valide,1,2,novote,novote,2,novote,novote,novote,novote,2,novote,4,1,3,0,0,7
145829,U15-007,2022AR15A,Valide,2,4,2,4,1,1,novote,2,1,novote,1,9,4,3,0,2,2
145853,U15-007,2022AR15A,Valide,3,3,2,2,1,1,3,3,3,2,1,11,3,3,5,0,0
145918,U15-007,2022AR15A,Valide,1,novote,novote,novote,novote,1,novote,1,1,novote,novote,4,4,0,0,0,7
145939,U15-003,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
146003,U15-007,2022AR15A,Valide,1,1,1,1,1,1,1,novote,1,1,1,10,10,0,0,0,1
146019,U15-007,2022AR15A,Valide,1,1,2,novote,1,1,1,1,novote,novote,novote,7,6,1,0,0,4
146040,U15-007,2022AR15A,Valide,2,novote,1,novote,1,novote,3,1,1,1,1,8,6,1,1,0,3
146053,U15-003,2022AR15B,Valide,1,1,novote,novote,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,7
