ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204513,U12-003,2022AR12A,Valide,3,1,1,4,3,1,2,4,4,1,1,3,12,5,1,3,3,0
204520,U12-008,2022AR12B,Valide,1,novote,1,novote,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,8
204530,U12-010,2022AR12A,Valide,novote,novote,novote,2,2,novote,2,2,novote,novote,2,novote,5,0,5,0,0,7
204532,U12-008,2022AR12B,Valide,3,3,2,3,2,2,3,3,3,3,2,3,12,0,4,8,0,0
204534,U12-005,2022AR12B,Valide,1,1,4,3,1,1,1,1,1,1,3,2,12,8,1,2,1,0
204540,U12-005,2022AR12B,Valide,3,3,3,3,1,novote,3,1,1,3,3,1,11,4,0,7,0,1
204541,U12-008,2022AR12B,Valide,novote,novote,1,novote,1,1,1,1,novote,novote,novote,novote,5,5,0,0,0,7
204546,U12-016,2022AR12A,Nul,1,2,3,4,2,2 4,4,4,4,1,3,2,11,2,3,2,4,0
204547,U12-008,2022AR12A,Valide,novote,novote,novote,novote,novote,1,1,1,novote,novote,novote,1,4,4,0,0,0,8
204557,U12-010,2022AR12A,Valide,novote,novote,1,2,1,1,novote,novote,novote,novote,novote,novote,4,3,1,0,0,8
204558,U12-008,2022AR12B,Valide,3,2,2,3,2,2,2,3,3,2,2,3,12,0,7,5,0,0
204565,U12-008,2022AR12A,Valide,novote,novote,novote,novote,novote,1,1,novote,4,novote,1,novote,4,3,0,0,1,8
204571,U12-008,2022AR12B,Valide,2,2,2,3,3,2,3,3,3,3,2,2,12,0,6,6,0,0
204577,U12-008,2022AR12A,Valide,1,3,novote,novote,novote,1,1,1,4,novote,1,novote,7,5,0,1,1,5
204590,U12-010,2022AR12A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
