ID,Urne,QR-Code,Categorie,1 - Ce serait Elisa « bete » de jouer au tennis sous la pluie !,2 - La balle est dans votre camp pour plus de sport au Stade Didot !,3 - Creons une oasis associative et citoyenne a Porte de Vanves !,4 - Du matos pour les assoc !,5 - Adoucir et rafraichir les espaces verts du 14e,6 - Jouons toutes et tous ensemble !,7 - Ouvrons les ecoles aux enfants extraordinaires !,"8 - Mettre en valeur l Aqueduc Medicis, lieu de patrimoine et d histoire",9 - Un musee a ciel ouvert en quartier populaire !,10 - Un vent de fraicheur sur le patrimoine du 14e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
11239,U14-023,2022AR14A,Valide,3,3,2,1,1,1,2,2,1,2,10,4,4,2,0,0
11359,U14-013,2022AR14A,Valide,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
11364,U14-013,2022AR14A,Valide,1,2,novote,novote,1,4,novote,1,4,1,7,4,1,0,2,3
11387,U14-013,2022AR14A,Valide,1,1,1,1,1,novote,1,novote,novote,novote,6,6,0,0,0,4
11390,U14-013,2022AR14A,Valide,2,2,1,1,novote,2,2,novote,2,2,8,2,6,0,0,2
11418,U14-013,2022AR14A,Nul,4,novote,novote,novote,novote,1,1,novote,novote,novote,3,2,0,0,1,7
11472,U14-013,2022AR14A,Valide,2,3,3,2,2,2,3,3,2,2,10,0,6,4,0,0
11512,U14-013,2022AR14A,Valide,novote,2,1,1,1,novote,novote,novote,2,novote,5,3,2,0,0,5
11553,U14-013,2022AR14A,Valide,2,novote,1,3,3,2,1,1,1,1,9,5,2,2,0,1
11563,U14-005,2022AR14A,Valide,3,3,1,1,2,2,2,4,1,4,10,3,3,2,2,0
11582,U14-013,2022AR14A,Valide,3,1,1,3,1,3,1,3,1,2,10,5,1,4,0,0
11603,U14-023,2022AR14A,Nul,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,8
11846,U14-013,2022AR14A,Valide,1,1,1,2,2,1,1,2,2,2,10,5,5,0,0,0
11874,U14-013,2022AR14A,Valide,novote,novote,1,1,novote,novote,1,novote,1,novote,4,4,0,0,0,6
11896,U14-013,2022AR14A,Valide,novote,novote,1,1,novote,novote,1,novote,1,novote,4,4,0,0,0,6
11975,U14-013,2022AR14A,Nul,novote,novote,novote,1,novote,novote,1,novote,novote,1,3,3,0,0,0,7
11993,U14-023,2022AR14B,Valide,1,3,2,1,3,1,2,3,3,2,10,3,3,4,0,0
12047,U14-013,2022AR14A,Valide,4,novote,novote,3,1,2,1,2,4,1,8,3,2,1,2,2
12134,U14-013,2022AR14A,Nul,novote,1,1 3,4,1,1,1,1,1,3,8,6,0,1,1,1
12345,U14-023,2022AR14A,Valide,novote,1,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
12454,U14-005,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
12462,U14-013,2022AR14A,Valide,2,2,novote,2,novote,2,2,novote,novote,novote,5,0,5,0,0,5
12493,U14-013,2022AR14A,Valide,1,2,4,1,2,2,2,2,1,2,10,3,6,0,1,0
12523,U14-023,2022AR14A,Valide,4,1,4,3,2,3,4,novote,novote,3,8,1,1,3,3,2
12631,U14-013,2022AR14A,Valide,novote,1,novote,novote,1,1,novote,novote,novote,1,4,4,0,0,0,6
12645,U14-005,2022AR14A,Valide,4,4,novote,1,4,novote,novote,novote,novote,1,5,2,0,0,3,5
12682,U14-013,2022AR14A,Valide,2,novote,novote,novote,1,novote,2,2,novote,novote,4,1,3,0,0,6
12691,U14-013,2022AR14A,Valide,novote,novote,novote,novote,novote,1,1,1,novote,2,4,3,1,0,0,6
12737,U14-013,2022AR14A,Nul,1 2,2,1,1,1,1,1,3,2,2,9,5,3,1,0,0
12777,U14-023,2022AR14A,Valide,novote,novote,2,4,2,novote,3,1,novote,2,6,1,3,1,1,4
12848,U14-013,2022AR14A,Valide,4,4,4,4,2,2,2,1,4,1,10,2,3,0,5,0
12890,U14-013,2022AR14A,Valide,1,1,2,3,3,1,1,2,3,1,10,5,2,3,0,0
12901,U14-013,2022AR14A,Valide,3,3,3,3,2,3,2,3,2,2,10,0,4,6,0,0
12905,U14-003,2022AR14A,Nul,novote,novote,1,novote,novote,novote,2,novote,3,novote,3,1,1,1,0,7
12913,U14-017,2022AR14A,Valide,3,3,novote,1,2,1,1,3,3,3,9,3,1,5,0,1
12918,U14-014,2022AR14A,Valide,novote,1,1,novote,1,novote,1,novote,novote,1,5,5,0,0,0,5
12922,U14-007,2022AR14B,Valide,novote,novote,1,2,novote,novote,novote,novote,3,4,4,1,1,1,1,6
12925,U14-007,2022AR14B,Valide,novote,3,novote,novote,novote,novote,novote,3,1,1,4,2,0,2,0,6
12930,U14-007,2022AR14B,Valide,novote,1,1,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,6
12937,U14-019,2022AR14B,Valide,novote,2,4,2,1,1,4,novote,novote,novote,6,2,2,0,2,4
12941,U14-021,2022AR14A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
12958,U14-017,2022AR14A,Valide,novote,novote,1,1,1,1,1,1,1,1,8,8,0,0,0,2
12966,U14-007,2022AR14B,Valide,1,novote,1,novote,2,novote,2,novote,novote,novote,4,2,2,0,0,6
12971,U14-022,2022AR14A,Valide,1,2,1,2,1,1,1,1,2,2,10,6,4,0,0,0
12977,U14-003,2022AR14A,Valide,2,3,1,1,1,2,1,3,1,1,10,6,2,2,0,0
12980,U14-007,2022AR14B,Nul,novote,2,1,novote,novote,novote,novote,novote,novote,novote,2,1,1,0,0,8
12981,U14-007,2022AR14B,Valide,novote,novote,1,novote,novote,4,1,1,novote,novote,4,3,0,0,1,6
13016,U14-017,2022AR14A,Valide,novote,1,novote,novote,novote,novote,1,1,novote,1,4,4,0,0,0,6
13027,U14-014,2022AR14A,Valide,3,1,2,2,1,2,2,2,3,2,10,2,6,2,0,0
13028,U14-003,2022AR14A,Valide,novote,novote,novote,1,1,novote,1,novote,novote,1,4,4,0,0,0,6
13029,U14-007,2022AR14B,Valide,2,3,1,2,1,3,2,3,2,2,10,2,5,3,0,0
13031,U14-007,2022AR14B,Valide,novote,1,1,novote,1,novote,novote,novote,novote,2,4,3,1,0,0,6
13038,U14-017,2022AR14A,Valide,novote,1,novote,1,1,novote,novote,novote,1,novote,4,4,0,0,0,6
13056,U14-022,2022AR14A,Valide,novote,novote,1,novote,novote,2,2,2,novote,novote,4,1,3,0,0,6
13057,U14-003,2022AR14A,Valide,4,novote,3,2,2,2,1,2,3,1,9,2,4,2,1,1
13065,U14-007,2022AR14B,Valide,4,1,novote,novote,4,novote,1,3,1,4,7,3,0,1,3,3
13074,U14-003,2022AR14A,Valide,novote,novote,2,2,novote,1,1,novote,novote,novote,4,2,2,0,0,6
13081,U14-003,2022AR14A,Valide,2,3,2,4,1,3,1,2,3,1,10,3,3,3,1,0
13096,U14-014,2022AR14A,Valide,1,novote,1,2,novote,novote,1,novote,novote,novote,4,3,1,0,0,6
13099,U14-003,2022AR14A,Valide,novote,novote,1,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
13127,U14-017,2022AR14A,Valide,3,3,1,2,1,2,2,1,3,1,10,4,3,3,0,0
13134,U14-003,2022AR14A,Valide,3,3,1,1,2,2,2,2,3,3,10,2,4,4,0,0
13136,U14-021,2022AR14A,Valide,1,novote,4,novote,novote,novote,novote,2,4,3,5,1,1,1,2,5
13143,U14-021,2022AR14A,Valide,1,2,3,3,1,3,2,2,3,1,10,3,3,4,0,0
13154,U14-021,2022AR14A,Valide,1,4,4,4,2,4,4,4,4,4,10,1,1,0,8,0
13170,U14-007,2022AR14B,Valide,novote,novote,1,novote,2,novote,2,2,2,2,6,1,5,0,0,4
13181,U14-003,2022AR14A,Valide,novote,novote,1,novote,1,novote,novote,1,novote,1,4,4,0,0,0,6
13195,U14-003,2022AR14A,Valide,4,3,2,4,2,2,1,1,2,2,10,2,5,1,2,0
13214,U14-007,2022AR14B,Valide,novote,2,1,2,novote,novote,novote,novote,2,novote,4,1,3,0,0,6
13220,U14-007,2022AR14B,Valide,novote,2,2,novote,2,novote,2,novote,novote,novote,4,0,4,0,0,6
13261,U14-014,2022AR14A,Valide,2,2,1,2,1,2,2,2,2,1,10,3,7,0,0,0
13263,U14-019,2022AR14B,Valide,3,2,2,2,2,2,2,3,2,2,10,0,8,2,0,0
13278,U14-007,2022AR14B,Valide,novote,2,1,novote,2,novote,novote,novote,1,novote,4,2,2,0,0,6
13280,U14-017,2022AR14A,Nul,novote,1,novote,novote,novote,novote,novote,novote,1,novote,2,2,0,0,0,8
13288,U14-019,2022AR14B,Valide,1,novote,novote,1,2,novote,1,novote,novote,novote,4,3,1,0,0,6
13291,U14-017,2022AR14A,Valide,2,1,1,1,1,2,1,3,3,3,10,5,2,3,0,0
13326,U14-007,2022AR14B,Valide,novote,novote,1,novote,3,novote,2,novote,novote,2,4,1,2,1,0,6
13327,U14-021,2022AR14A,Valide,1,novote,novote,novote,1,novote,1,novote,novote,1,4,4,0,0,0,6
13334,U14-007,2022AR14B,Valide,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
13340,U14-003,2022AR14A,Valide,novote,novote,1,novote,1,1,novote,novote,1,novote,4,4,0,0,0,6
13343,U14-007,2022AR14B,Valide,novote,novote,1,novote,3,novote,3,novote,3,novote,4,1,0,3,0,6
13345,U14-007,2022AR14B,Valide,novote,1,1,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,6
13347,U14-014,2022AR14A,Valide,novote,novote,1,novote,novote,novote,1,1,1,novote,4,4,0,0,0,6
13351,U14-003,2022AR14A,Valide,novote,2,novote,novote,1,novote,1,novote,1,novote,4,3,1,0,0,6
13353,U14-007,2022AR14B,Valide,novote,2,2,novote,3,novote,3,3,novote,3,6,0,2,4,0,4
13354,U14-003,2022AR14A,Valide,novote,novote,novote,1,novote,novote,1,1,novote,1,4,4,0,0,0,6
13356,U14-014,2022AR14A,Nul,novote,novote,1,novote,novote,novote,novote,novote,2,novote,2,1,1,0,0,8
13358,U14-007,2022AR14B,Valide,novote,novote,1,novote,1,novote,novote,novote,1,1,4,4,0,0,0,6
13375,U14-007,2022AR14B,Valide,novote,novote,1,1,1,novote,novote,novote,1,1,5,5,0,0,0,5
13378,U14-019,2022AR14B,Valide,1,3,1,2,2,3,3,3,3,3,10,2,2,6,0,0
13392,U14-007,2022AR14B,Valide,novote,1,1,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,6
13399,U14-021,2022AR14A,Valide,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
13415,U14-021,2022AR14A,Valide,1,3,4,3,2,3,4,3,3,2,10,1,2,5,2,0
13424,U14-021,2022AR14A,Valide,1,2,1,1,1,novote,1,2,3,3,9,5,2,2,0,1
13434,U14-003,2022AR14A,Valide,2,novote,novote,novote,1,novote,novote,1,1,novote,4,3,1,0,0,6
13435,U14-021,2022AR14A,Valide,1,novote,novote,novote,4,3,novote,novote,2,novote,4,1,1,1,1,6
13440,U14-019,2022AR14B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
13451,U14-003,2022AR14A,Valide,1,novote,novote,novote,1,novote,novote,1,novote,1,4,4,0,0,0,6
13464,U14-022,2022AR14A,Valide,1,3,3,2,2,2,2,1,2,1,10,3,5,2,0,0
13481,U14-007,2022AR14B,Valide,3,4,2,1,2,2,1,3,1,2,10,3,4,2,1,0
13510,U14-017,2022AR14A,Valide,4,novote,1,novote,novote,novote,novote,1,novote,1,4,3,0,0,1,6
13520,U14-017,2022AR14A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
13528,U14-003,2022AR14A,Valide,3,3,1,novote,1,novote,novote,2,2,2,7,2,3,2,0,3
13529,U14-017,2022AR14A,Valide,2,1,2,1,1,1,2,2,1,2,10,5,5,0,0,0
13530,U14-007,2022AR14B,Valide,novote,1,1,1,novote,novote,novote,1,novote,1,5,5,0,0,0,5
13535,U14-019,2022AR14B,Valide,3,1,1,2,2,3,3,2,1,3,10,3,3,4,0,0
13543,U14-022,2022AR14A,Valide,2,novote,1,1,novote,1,1,3,2,2,8,4,3,1,0,2
13550,U14-007,2022AR14B,Valide,novote,1,1,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,6
13574,U14-022,2022AR14A,Valide,2,1,1,1,1,1,1,2,1,3,10,7,2,1,0,0
13581,U14-007,2022AR14B,Valide,novote,1,1,novote,1,1,1,1,1,1,8,8,0,0,0,2
13583,U14-007,2022AR14B,Valide,1,1,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
13591,U14-007,2022AR14B,Valide,3,3,2,2,1,2,1,3,2,2,10,2,5,3,0,0
13618,U14-022,2022AR14A,Valide,novote,novote,novote,novote,1,novote,1,1,novote,1,4,4,0,0,0,6
13628,U14-022,2022AR14A,Valide,2,2,1,2,1,2,1,2,2,3,10,3,6,1,0,0
13638,U14-007,2022AR14B,Valide,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,6
