ID,Urne,QR-Code,Categorie,1 - Amenager et equiper les residences sociales,2 - Equiper les associations d alimentation durable,3 - Restaurer la Maison de l Air pour les habitantes et habitants !,4 - Securiser la voirie et apaiser la circulation,5 - Amenager des espaces publics verdoyants pour le 20e,6 - Embellir nos parcs et jardins,7 - Des projets educatifs pour le 20e,8 - Des projets pour la jeunesse du 20e,9 - Renovations energetiques pour les ecoles de la rue Le Vau et la creche collective 8 rue des Lyanes,10 - Embellir le 20e avec des fresques et de la vegetalisation,11 - Poursuivre la restauration de La Fleche d Or : un projet sur les rails !,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
33051,U20-023,2022AR20B,Valide,1,1,2,1,2,3,3,3,3,3,3,11,3,2,6,0,0
33057,U20-099,2022AR20A,Valide,2,4,2,4,3,2,3,2,2,3,2,11,0,6,3,2,0
33059,U20-024,2022AR20A,Valide,2,2,2,3,3,2,2,2,2,2,1,11,1,8,2,0,0
33068,U20-024,2022AR20A,Valide,1,novote,novote,novote,1,novote,novote,1,novote,novote,1,4,4,0,0,0,7
33083,U20-099,2022AR20A,Valide,4,4,2,4,4,4,4,4,4,4,1,11,1,1,0,9,0
33084,U20-024,2022AR20A,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,9
33085,U20-023,2022AR20A,Valide,novote,novote,1,novote,1,novote,2,novote,1,novote,novote,4,3,1,0,0,7
33094,U20-023,2022AR20B,Valide,1,1,novote,novote,novote,novote,1,1,novote,novote,novote,4,4,0,0,0,7
33104,U20-023,2022AR20B,Valide,2,1,2,1,1,1,2,2,2,1,2,11,5,6,0,0,0
33105,U20-099,2022AR20B,Valide,2,3,4,3,2,2,2,2,3,2,3,11,0,6,4,1,0
33115,U20-005,2022AR20A,Valide,4,novote,4,4,2,2,2,2,3,2,4,10,0,5,1,4,1
33121,U20-099,2022AR20B,Valide,2,2,2,1,1,1,2,1,3,1,2,11,5,5,1,0,0
33124,U20-023,2022AR20A,Valide,2,2,novote,1,1,1,1,1,3,1,1,10,7,2,1,0,1
33137,U20-099,2022AR20B,Valide,novote,1,1,novote,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,7
33159,U20-023,2022AR20A,Valide,1,1,novote,novote,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,7
33173,U20-023,2022AR20B,Valide,1,1,2,1,1,1,2,2,1,3,2,11,6,4,1,0,0
33181,U20-023,2022AR20B,Valide,3,2,2,1,1,1,2,2,2,2,1,11,4,6,1,0,0
33184,U20-099,2022AR20B,Valide,3,2,3,1,1,2,1,2,3,1,2,11,4,4,3,0,0
33195,U20-099,2022AR20A,Valide,2,2,3,2,1,2,1,1,3,2,2,11,3,6,2,0,0
33219,U20-005,2022AR20B,Valide,1,1,1,1,novote,novote,1,1,novote,1,novote,7,7,0,0,0,4
33235,U20-099,2022AR20B,Valide,1,1,novote,1,novote,1,novote,1,1,novote,novote,6,6,0,0,0,5
33242,U20-023,2022AR20B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,10
33243,U20-005,2022AR20A,Nul,4,2 4,2,2,2,4,2,2,2,2,2,10,0,8,0,2,0
33253,U20-018,2022AR20A,Valide,2,1,2,1,1,2,1,1,2,1,1,11,7,4,0,0,0
33256,U20-009,2022AR20A,Valide,2,2,3,3,1,2,3,2,4,2,4,11,1,5,3,2,0
33263,U20-023,2022AR20A,Nul,novote,novote,1,novote,novote,novote,novote,1,novote,novote,1,3,3,0,0,0,8
33264,U20-005,2022AR20B,Valide,2,1,2,3,1,1,2,2,1,1,1,11,6,4,1,0,0
33273,U20-023,2022AR20B,Valide,1,4,1,3,1,1,4,1,4,4,4,11,5,0,1,5,0
33287,U20-023,2022AR20A,Valide,1,novote,novote,1,novote,novote,novote,1,novote,novote,1,4,4,0,0,0,7
33299,U20-099,2022AR20B,Valide,1,1,novote,novote,novote,novote,novote,novote,1,1,novote,4,4,0,0,0,7
33321,U20-099,2022AR20B,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,1,3,3,0,0,0,8
33322,U20-002,2022AR20B,Valide,novote,novote,novote,novote,1,1,1,1,3,1,1,7,6,0,1,0,4
33323,U20-009,2022AR20A,Valide,1,2,2,2,2,2,2,2,2,1,2,11,2,9,0,0,0
33339,U20-099,2022AR20B,Valide,4,1,1,4,4,4,1,1,1,4,1,11,6,0,0,5,0
33372,U20-023,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
33381,U20-023,2022AR20B,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,1,5,5,0,0,0,6
33388,U20-099,2022AR20A,Nul,novote,novote,1,novote,1,novote,novote,novote,novote,novote,1,3,3,0,0,0,8
33392,U20-023,2022AR20A,Valide,3,2,3,2,2,1,1,2,1,3,2,11,3,5,3,0,0
33395,U20-002,2022AR20B,Valide,4,4,4,1,1,1,4,3,2,2,2,11,3,3,1,4,0
33414,U20-005,2022AR20A,Valide,3,novote,novote,2,1,2,3,1,3,1,1,9,4,2,3,0,2
33417,U20-005,2022AR20B,Valide,3,2,2,2,4,2,2,1,1,4,3,11,2,5,2,2,0
33425,U20-023,2022AR20A,Valide,1,novote,novote,novote,1,1,1,1,novote,1,novote,6,6,0,0,0,5
33430,U20-002,2022AR20A,Valide,2,3,1,2,3,3,2,1,3,2,2,11,2,5,4,0,0
33433,U20-009,2022AR20A,Valide,1,novote,novote,novote,novote,novote,2,3,3,novote,novote,4,1,1,2,0,7
33442,U20-024,2022AR20A,Valide,3,3,3,1,2,2,2,3,3,3,3,11,1,3,7,0,0
33445,U20-099,2022AR20A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
