ID,Urne,QR-Code,Categorie,1 - Moderniser les salles d escrime du gymnase Buffault,2 - Reinventer la maison pour tous YMCA de la rue de Trevise,3 - Installer des radars pedagogiques,4 - Diversifier les commerces dans le quartier Pigalle,5 - Ameliorer le confort des usagers du Conservatoire Boulanger,6 - Creer un parcours patrimonial grace a des QR codes,7 - Restaurer les publicites peintes de la rue des Martyrs,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
2648,U09-004,2022AR09B,Valide,2,1,1,1,2,3,2,7,3,3,1,0,0
2649,U09-004,2022AR09B,Blanc,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,7
2653,U09-004,2022AR09B,Valide,novote,1,1,1,novote,4,1,5,4,0,0,1,2
2659,U09-004,2022AR09B,Valide,novote,1,1,2,novote,novote,1,4,3,1,0,0,3
2660,U09-004,2022AR09B,Valide,4,4,4,1,4,4,2,7,1,1,0,5,0
2662,U09-004,2022AR09B,Valide,4,2,2,2,3,3,3,7,0,3,3,1,0
2664,U09-004,2022AR09B,Valide,2,3,3,1,3,2,1,7,2,2,3,0,0
2665,U09-004,2022AR09B,Valide,3,2,3,4,3,1,2,7,1,2,3,1,0
2667,U09-004,2022AR09B,Valide,novote,2,2,novote,novote,3,3,4,0,2,2,0,3
2671,U09-004,2022AR09B,Valide,2,3,3,2,2,3,2,7,0,4,3,0,0
2674,U09-004,2022AR09B,Valide,3,1,3,1,3,4,2,7,2,1,3,1,0
2676,U09-004,2022AR09B,Valide,1,3,2,4,3,3,1,7,2,1,3,1,0
2677,U09-004,2022AR09B,Valide,novote,novote,1,1,novote,1,1,4,4,0,0,0,3
2678,U09-004,2022AR09B,Valide,2,1,1,1,1,1,1,7,6,1,0,0,0
2679,U09-004,2022AR09B,Nul,1,novote,1,2,3,1 2,1 2,4,2,1,1,0,1
2680,U09-004,2022AR09B,Valide,3,3,1,novote,3,4,3,6,1,0,4,1,1
2681,U09-004,2022AR09B,Valide,novote,1,novote,1,1,novote,1,4,4,0,0,0,3
2682,U09-004,2022AR09B,Valide,2,2,1,1,3,2,2,7,2,4,1,0,0
2683,U09-004,2022AR09B,Valide,novote,1,1,1,1,2,1,6,5,1,0,0,1
2685,U09-004,2022AR09B,Valide,1,novote,1,1,novote,1,novote,4,4,0,0,0,3
2686,U09-004,2022AR09B,Valide,2,1,1,2,2,2,1,7,3,4,0,0,0
2687,U09-004,2022AR09B,Valide,1,1,novote,1,novote,1,1,5,5,0,0,0,2
2691,U09-004,2022AR09B,Valide,3,3,2,2,3,3,4,7,0,2,4,1,0
2692,U09-004,2022AR09B,Valide,1,2,3,2,novote,1,1,6,3,2,1,0,1
2694,U09-004,2022AR09B,Valide,2,1,2,1,2,2,1,7,3,4,0,0,0
2702,U09-004,2022AR09B,Valide,2,2,2,2,2,4,3,7,0,5,1,1,0
2703,U09-004,2022AR09B,Valide,3,1,1,1,1,2,2,7,4,2,1,0,0
2706,U09-004,2022AR09B,Valide,1,1,1,1,1,1,2,7,6,1,0,0,0
2707,U09-004,2022AR09B,Valide,2,1,2,novote,novote,novote,2,4,1,3,0,0,3
2709,U09-004,2022AR09B,Valide,2,1,1,1,2,3,2,7,3,3,1,0,0
2712,U09-004,2022AR09B,Valide,2,2,2,2,1,2,1,7,2,5,0,0,0
2713,U09-004,2022AR09B,Valide,1,1,1,1,2,1,1,7,6,1,0,0,0
2714,U09-004,2022AR09B,Nul,novote,2,1,novote,novote,novote,novote,2,1,1,0,0,5
2715,U09-004,2022AR09B,Valide,2,1,2,2,2,4,1,7,2,4,0,1,0
2717,U09-004,2022AR09B,Valide,4,1,4,1,4,4,4,7,2,0,0,5,0
2718,U09-004,2022AR09B,Valide,1,1,3,3,4,1,1,7,4,0,2,1,0
2719,U09-004,2022AR09B,Valide,novote,1,novote,4,2,novote,3,4,1,1,1,1,3
2722,U09-004,2022AR09B,Valide,1,2,1,1,2,2,1,7,4,3,0,0,0
2723,U09-004,2022AR09B,Valide,2,1,4,1,novote,2,1,6,3,2,0,1,1
2724,U09-004,2022AR09B,Valide,2,1,2,2,1,1,1,7,4,3,0,0,0
2729,U09-004,2022AR09B,Valide,2,1,2,1,2,3,1,7,3,3,1,0,0
2732,U09-004,2022AR09B,Valide,4,2,2,2,3,3,3,7,0,3,3,1,0
2736,U09-004,2022AR09B,Valide,1,1,1,1,2,1,1,7,6,1,0,0,0
2737,U09-004,2022AR09B,Valide,1,2,novote,novote,2,novote,2,4,1,3,0,0,3
2738,U09-004,2022AR09B,Valide,2,1,4,2,1,3,2,7,2,3,1,1,0
2739,U09-004,2022AR09B,Valide,4,novote,3,2,1,novote,novote,4,1,1,1,1,3
2740,U09-004,2022AR09B,Valide,3,1,1,1,1,2,2,7,4,2,1,0,0
2743,U09-004,2022AR09B,Blanc,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,7
2744,U09-004,2022AR09B,Valide,novote,2,2,novote,novote,3,3,4,0,2,2,0,3
2745,U09-004,2022AR09B,Valide,novote,1,1,1,novote,1,novote,4,4,0,0,0,3
2746,U09-004,2022AR09B,Valide,2,2,4,2,2,4,1,7,1,4,0,2,0
2747,U09-004,2022AR09B,Valide,2,2,1,2,2,2,1,7,2,5,0,0,0
2748,U09-004,2022AR09B,Valide,4,3,1,1,2,1,1,7,4,1,1,1,0
2753,U09-004,2022AR09B,Valide,3,1,2,3,3,1,1,7,3,1,3,0,0
2755,U09-004,2022AR09B,Valide,novote,novote,3,2,novote,2,1,4,1,2,1,0,3
2757,U09-004,2022AR09B,Valide,3,1,1,1,1,3,3,7,4,0,3,0,0
