ID,Urne,QR-Code,Categorie,"1 - Velo, velo, velo !",2 - Ameliorer les terrains sportifs du 17eme !,3 - Creation d un espace de glisse urbaine,4 - Des equipements sportifs moins energivores et mieux securises !,5 - Des equipements sportifs plus inclusifs,6 - Du tennis et du padel !,7 - Renover les gymnases du 17eme !,8 - Des locaux equipes pour un quartier plus solidaire,9 - Securiser les carrefours dangereux et les abords des ecoles,10 - Vers plus de vert dans le 17eme !,11 - Renover l ecole Bessieres aux Epinettes,12 - Renovons les ecoles du 17eme !,13 - Renover les marches couverts du 17eme,14 - Super ! La ressourcerie des familles,15 - De l art hors les murs !,16 - Patrimoine et memoire : restaurer et valoriser le 17eme !,17 - Reamenager la place des Ternes !,18 - Refection des chaussees boulevard des Batignolles,19 - Refection des trottoirs avenues de Clichy et St-Ouen,20 - Renovation de la rue de Rome et du boulevard Pereire,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
72786,U75-003,2022AR17A,Valide,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,1,novote,novote,novote,4,4,0,0,0,16
72885,U75-003,2022AR17A,Valide,1,2,2,2,2,novote,novote,2,2,1,1,2,3,novote,1,3,3,3,3,3,17,4,7,6,0,3
73120,U75-003,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,2,novote,novote,2,1,novote,4,1,3,0,0,16
73148,U75-002,2022AR17A,Valide,1,2,2,novote,2,1,2,1,1,2,1,novote,novote,1,novote,1,novote,novote,novote,1,13,8,5,0,0,7
73176,U75-003,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,2,novote,2,novote,novote,novote,novote,novote,1,novote,novote,4,1,3,0,0,16
73269,U75-003,2022AR17A,Valide,1,2,4,2,2,1,2,2,3,2,2,2,1,2,2,2,3,2,1,3,20,4,12,3,1,0
73323,U75-003,2022AR17A,Valide,4,3,4,4,4,4,2,4,1,1,4,2,2,4,4,1,2,4,1,1,20,5,4,1,10,0
73811,U75-002,2022AR17A,Valide,2,2,3,2,3,3,2,2,1,1,3,2,1,1,1,2,1,1,3,1,20,8,7,5,0,0
73867,U75-003,2022AR17A,Valide,1,2,4,3,4,4,3,2,1,1,3,1,3,4,4,2,4,3,3,4,20,4,3,6,7,0
73888,U75-003,2022AR17A,Valide,3,3,4,1,3,3,2,2,2,1,3,2,3,3,3,1,2,4,3,3,20,3,5,10,2,0
73895,U75-003,2022AR17A,Valide,1,4,4,4,2,4,4,3,4,2,4,4,1,1,1,1,4,4,1,4,20,6,2,1,11,0
73985,U75-003,2022AR17A,Valide,4,1,2,1,1,2,1,1,2,2,1,2,1,1,4,1,1,1,2,1,20,12,6,0,2,0
74129,U75-003,2022AR17A,Valide,1,2,3,2,1,2,3,1,2,1,1,1,2,2,2,2,2,2,3,3,20,6,10,4,0,0
74224,U75-003,2022AR17A,Valide,1,1,3,2,2,2,2,2,1,1,2,2,3,2,1,2,3,2,2,3,20,5,11,4,0,0
74567,U75-003,2022AR17A,Valide,1,novote,novote,novote,novote,novote,novote,novote,1,1,novote,novote,1,novote,novote,novote,1,novote,novote,novote,5,5,0,0,0,15
74572,U75-003,2022AR17A,Valide,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,16
74656,U75-003,2022AR17A,Valide,3,3,4,3,novote,2,novote,2,3,2,novote,2,1,2,novote,novote,3,3,1,3,15,2,5,7,1,5
74719,U75-003,2022AR17A,Valide,2,2,3,4,3,4,2,2,2,1,4,2,4,2,4,1,4,3,4,4,20,2,7,3,8,0
74764,U75-002,2022AR17A,Valide,4,2,3,2,2,3,2,3,2,1,1,1,2,2,1,1,1,1,1,1,20,9,7,3,1,0
74889,U75-003,2022AR17A,Valide,1,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,20,7,13,0,0,0
75122,U75-003,2022AR17A,Valide,novote,novote,novote,2,novote,novote,novote,novote,novote,2,novote,novote,novote,novote,novote,novote,1,novote,2,4,5,1,3,0,1,15
75501,U75-002,2022AR17A,Nul,3 4,3,3,3,3,4,3,novote,3,1,3,3,2,1,3,2,3,4,4,3,18,2,2,11,3,1
75535,U75-003,2022AR17A,Valide,2,1,1,3,3,3,1,3,1,1,3,1,novote,3,3,3,1,1,2,1,19,9,2,8,0,1
