ID,Urne,QR-Code,Categorie,1 - Des stationnements pour les velos,2 - Renovation espace de glisse JEMMAPES,3 - Un terrain couvert pour les sportifs du 10eme,4 - Aider les sans-abris et lutter contre la precarite menstruelle,5 - Agrandir le jardin du Chalet et favoriser la biodiversite,6 - Des cours d ecoles et de colleges vegetalisees et Oasis,7 - Les ecoliers du 10e pionniers de l egalite numerique,8 - Un eco-lieu pour le 10e,9 - Rendre son lustre a la maison des habitant.e.s du 10e !,10 - Restauration de la Chapelle de la Vierge,11 - Restauration des decors de l eglise Saint-Martin-des-Champs,12 - Restaurer les grilles de l eglise Saint-Vincent-de-Paul,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
92205,U10-006,2022AR10A,Valide,2,3,2,2,3,3,2,3,3,3,3,3,12,0,4,8,0,0
92327,U10-006,2022AR10A,Valide,3,3,2,3,1,1,novote,novote,novote,novote,novote,novote,6,2,1,3,0,6
92605,U10-006,2022AR10A,Valide,2,4,2,1,3,3,2,novote,3,3,3,3,11,1,3,6,1,1
92653,U10-006,2022AR10A,Valide,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,8
92686,U10-006,2022AR10A,Valide,2,2,2,1,novote,novote,1,novote,novote,novote,novote,novote,5,2,3,0,0,7
92694,U10-006,2022AR10A,Valide,2,novote,novote,2,1,1,novote,novote,novote,novote,novote,novote,4,2,2,0,0,8
92745,U10-006,2022AR10A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
92903,U10-006,2022AR10A,Valide,4,4,1,1,4,3,2,3,4,4,4,4,12,2,1,2,7,0
92952,U10-006,2022AR10A,Valide,1,1,1,2,3,2,2,3,1,2,3,3,12,4,4,4,0,0
93295,U10-006,2022AR10A,Nul,4,4,2,2,1,1,4,1 2 4,4,4,4,4,11,2,2,0,7,0
93369,U10-006,2022AR10A,Valide,2,2,1,1,2,2,2,1,2,1,1,1,12,6,6,0,0,0
93376,U10-006,2022AR10A,Valide,2,2,3,1,3,2,2,2,3,2,2,2,12,1,8,3,0,0
93434,U10-006,2022AR10A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
93586,U10-006,2022AR10A,Valide,2,3,3,1,2,3,2,3,1,2,novote,3,11,2,4,5,0,1
93743,U10-006,2022AR10A,Nul,3,4,4,1,1 3,2,1,1,4,4,4,4,11,3,1,1,6,0
93912,U10-006,2022AR10A,Valide,novote,2,2,1,1,1,2,2,2,2,2,2,11,3,8,0,0,1
94227,U75-001,2022AR10A,Valide,4,1,1,4,1,1,1,1,1,1,1,1,12,10,0,0,2,0
94265,U10-006,2022AR10A,Nul,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
94388,U10-006,2022AR10A,Valide,4,4,3,1,1,1,4,4,4,4,3,3,12,3,0,3,6,0
94481,U10-006,2022AR10A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
94626,U10-006,2022AR10A,Valide,2,1,1,2,1,2,2,1,1,3,3,3,12,5,4,3,0,0
94706,U10-006,2022AR10A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
94802,U10-006,2022AR10A,Valide,novote,1,novote,1,1,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,8
94841,U10-006,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
94863,U10-006,2022AR10A,Nul,2,3,1,novote,1,2,1 2,1,3,3,3,3,10,3,2,5,0,1
95045,U10-006,2022AR10A,Valide,2,3,3,1,1,2,novote,1,4,1,2,2,11,4,4,2,1,1
95529,U10-006,2022AR10A,Valide,1,1,1,1,1,1,2,2,3,3,3,3,12,6,2,4,0,0
95557,U10-006,2022AR10A,Valide,1,1,3,2,3,novote,1,1,2,novote,novote,novote,8,4,2,2,0,4
95662,U10-006,2022AR10A,Valide,4,4,4,1,1,1,4,1,3,3,2,2,12,4,2,2,4,0
95764,U10-006,2022AR10A,Valide,2,2,2,1,3,3,3,2,3,3,2,3,12,1,5,6,0,0
95893,U10-006,2022AR10A,Valide,2,4,1,1,2,2,1,4,4,1,4,4,12,4,3,0,5,0
95943,U10-006,2022AR10A,Valide,1,3,1,1,1,1,2,1,3,1,1,1,12,9,1,2,0,0
95953,U10-006,2022AR10A,Valide,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
96686,U10-006,2022AR10A,Valide,2,2,2,1,2,2,3,1,1,1,1,1,12,6,5,1,0,0
96705,U10-006,2022AR10A,Valide,3,1,1,1,2,3,2,2,2,1,1,1,12,6,4,2,0,0
96718,U10-009,2022AR10A,Nul,1,3,2,1 3,1,2,4,2,novote,1,novote,1,9,4,3,1,1,2
