ID,Urne,QR-Code,Categorie,1 - Ameliorer les equipements sportifs du 11e pour en developper l usage,2 - Innover au service de toutes et tous dans le 11e,3 - Rendre le 11e encore plus vert,4 - Amenager et equiper les ecoles du 11e,5 - Creer une cour Oasis pour les ecoles Belleville et Presentation,6 - Equiper les colleges du 11e pour developper les apprentissages,"7 - Embellir l eglise Saint-Ambroise, patrimoine du 11e",8 - Embellir le 11e grace a des œuvres sur les murs,9 - Favoriser la vie culturelle du quartier Belleville Saint-Maur,10 - Apaiser la circulation et partager l espace public du 11e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
131274,U11-002,2022AR11B,Valide,3,2,3,2,3,2,3,2,2,2,10,0,6,4,0,0
131681,U11-002,2022AR11B,Valide,novote,novote,1,1,1,novote,novote,novote,novote,1,4,4,0,0,0,6
131956,U11-002,2022AR11B,Valide,1,1,1,novote,novote,1,novote,1,novote,1,6,6,0,0,0,4
132037,U11-002,2022AR11B,Valide,novote,1,1,1,novote,1,4,1,1,4,8,6,0,0,2,2
132083,U11-002,2022AR11B,Valide,3,3,1,1,3,3,4,1,3,1,10,4,0,5,1,0
132242,U11-002,2022AR11B,Valide,novote,novote,1,1,novote,1,novote,1,novote,novote,4,4,0,0,0,6
132439,U11-002,2022AR11B,Valide,4,1,1,1,2,4,1,1,1,4,10,6,1,0,3,0
132571,U11-002,2022AR11B,Valide,2,2,1,1,2,1,2,3,3,1,10,4,4,2,0,0
132716,U11-002,2022AR11B,Valide,2,2,1,1,1,2,2,1,1,1,10,6,4,0,0,0
133056,U11-002,2022AR11B,Valide,3,4,2,2,3,1,2,3,2,2,10,1,5,3,1,0
133179,U11-002,2022AR11B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
133240,U75-001,2022AR11A,Valide,1,novote,1,1,1,2,3,4,2,1,9,5,2,1,1,1
133529,U11-002,2022AR11B,Valide,2,3,2,2,2,2,3,4,1,2,10,1,6,2,1,0
133548,U11-002,2022AR11B,Valide,1,3,1,2,2,2,1,3,1,4,10,4,3,2,1,0
133579,U11-002,2022AR11B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
133597,U11-002,2022AR11B,Valide,1,novote,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,6
133948,U11-010,2022AR11A,Valide,2,3,2,1,3,2,4,4,1,4,10,2,3,2,3,0
133983,U75-001,2022AR11A,Valide,1,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
134012,U11-010,2022AR11A,Valide,4,4,4,1,4,1,1,4,4,4,10,3,0,0,7,0
134225,U11-002,2022AR11B,Valide,1,novote,1,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,6
134363,U11-010,2022AR11B,Valide,3,3,2,2,3,2,2,4,2,3,10,0,5,4,1,0
