ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
195949,U19-031,2022AR19A,Nul,1 2,1 2,1 2,1 2,1 2,2,2,1 2,1,1 2,1 2,1 2 3 4,3,1,2,0,0,0
195972,U19-031,2022AR19A,Valide,1,novote,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
195981,U19-031,2022AR19B,Valide,novote,1,1,novote,novote,novote,2,novote,novote,novote,novote,1,4,3,1,0,0,8
196008,U19-031,2022AR19A,Valide,1,novote,novote,1,novote,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,8
196028,U19-031,2022AR19B,Valide,novote,novote,novote,novote,novote,novote,1,2,2,novote,novote,2,4,1,3,0,0,8
196040,U19-031,2022AR19A,Valide,1,novote,3,1,1,novote,1,1,1,1,1,1,10,9,0,1,0,2
196056,U19-031,2022AR19A,Valide,novote,novote,novote,novote,1,novote,1,novote,novote,1,novote,1,4,4,0,0,0,8
196102,U19-031,2022AR19A,Valide,2,novote,novote,novote,novote,2,1,2,novote,2,2,novote,6,1,5,0,0,6
196116,U19-031,2022AR19B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
196236,U19-031,2022AR19A,Valide,1,1,2,3,2,2,1,1,1,2,2,2,12,5,6,1,0,0
196276,U19-031,2022AR19A,Valide,1,novote,novote,1,novote,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,8
196293,U19-031,2022AR19A,Valide,2,2,1,2,2,1,1,1,1,1,2,2,12,6,6,0,0,0
196420,U19-031,2022AR19A,Valide,novote,1,novote,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,8
196518,U19-031,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,1,1,novote,novote,novote,4,4,0,0,0,8
196565,U19-031,2022AR19A,Valide,novote,novote,novote,2,novote,novote,1,2,novote,2,novote,novote,4,1,3,0,0,8
196618,U19-031,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,1,novote,1,1,1,6,6,0,0,0,6
196668,U19-031,2022AR19A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
196752,U19-031,2022AR19A,Valide,3,novote,novote,novote,1,novote,1,2,1,novote,novote,novote,5,3,1,1,0,7
196830,U19-031,2022AR19A,Valide,2,novote,2,novote,novote,2,1,novote,novote,novote,novote,novote,4,1,3,0,0,8
196843,U19-031,2022AR19A,Valide,novote,novote,1,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
196858,U19-031,2022AR19B,Valide,4,2,1,1,1,1,1,1,2,1,2,1,12,8,3,0,1,0
196894,U19-031,2022AR19A,Valide,novote,novote,novote,1,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,8
196901,U19-031,2022AR19A,Valide,novote,1,novote,novote,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,8
196931,U19-031,2022AR19A,Valide,1,1,novote,1,1,novote,novote,novote,novote,novote,novote,1,5,5,0,0,0,7
196936,U19-031,2022AR19A,Valide,3,1,1,3,2,1,1,2,1,2,2,1,12,6,4,2,0,0
196990,U19-031,2022AR19A,Nul,2,novote,novote,novote,novote,novote,1,novote,1,novote,novote,novote,3,2,1,0,0,9
197002,U19-031,2022AR19B,Valide,1,1,2,2,2,novote,1,1,2,novote,novote,novote,8,4,4,0,0,4
197019,U19-031,2022AR19A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
197023,U19-031,2022AR19A,Valide,novote,novote,1,novote,novote,novote,1,novote,novote,1,novote,1,4,4,0,0,0,8
197032,U19-031,2022AR19A,Valide,novote,novote,1,novote,novote,novote,1,novote,1,novote,2,novote,4,3,1,0,0,8
197044,U19-031,2022AR19A,Valide,novote,novote,novote,novote,novote,1,1,1,novote,1,novote,novote,4,4,0,0,0,8
197065,U19-031,2022AR19A,Valide,novote,1,2,novote,novote,1,1,2,1,novote,novote,novote,6,4,2,0,0,6
197171,U19-031,2022AR19A,Valide,novote,novote,novote,1,novote,novote,1,1,novote,novote,1,novote,4,4,0,0,0,8
197236,U19-031,2022AR19A,Valide,1,novote,novote,1,1,novote,1,1,2,2,2,2,9,5,4,0,0,3
197249,U19-031,2022AR19A,Valide,novote,2,novote,2,novote,novote,1,novote,3,3,3,novote,6,1,2,3,0,6
197294,U19-031,2022AR19B,Valide,novote,novote,novote,4,4,1,4,3,4,4,novote,4,8,1,0,1,6,4
197298,U19-031,2022AR19A,Valide,novote,novote,2,novote,novote,novote,1,novote,2,novote,novote,2,4,1,3,0,0,8
197328,U19-031,2022AR19A,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,11
197354,U19-031,2022AR19A,Nul,1 3,1,1,3,2,1,1,2,1,2,2,1,11,6,4,1,0,0
