ID,Urne,QR-Code,Categorie,1 - Installer du mobilier urbain sur les berges pour les sports de glisse,2 - Rendre l eglise St-Germain l Auxerrois accessible au PMR,3 - Poursuivre la refection des chaussees des Grands Boulevards,4 - Ameliorer le confort et l amenagement d etablissements scolaires,5 - Completer la renovation des arcades de la rue de Rivoli,6 - Ravaler la facade de l eglise St-Nicolas-des-Champs,7 - Rénover le petit tunnel de l ecluse du bassin de l Arsenal,8 - Restaurer la facade et les candelabres de l eglise des Blancs-Manteaux,9 - Restaurer le patrimoine de 3 eglises de Paris Centre,10 - Restaurer le toit et les decors de l eglise Ste-Elisabeth de Hongrie,11 - Restaurer les chapelles de l eglise St-Germain-l Auxerrois,12 - Restaurer les fontaines du Theatre Francais,13 - Restaurer les peintures de 2 eglises et tracer le chemin de Compostelle,14 - Remplacer et renover les bancs de Paris Centre,15 - Renover les reverberes du Louvre,16 - Vegetaliser temporairement la rue Greneta,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
114863,U01-003,2022AR01A,Valide,2,novote,novote,novote,novote,novote,1,1,1,3,novote,novote,novote,1,novote,novote,6,4,1,1,0,10
114903,U01-006,2022AR01B,Valide,novote,novote,1,novote,1,2,novote,1,1,3,2,1,1,1,1,1,12,9,2,1,0,4
114904,U01-003,2022AR01B,Valide,novote,novote,novote,novote,2,2,2,2,2,novote,2,2,novote,novote,novote,novote,7,0,7,0,0,9
114909,U01-011,2022AR01A,Valide,2,2,1,1,3,2,3,2,3,2,2,2,3,1,novote,2,15,3,8,4,0,1
114925,U01-011,2022AR01A,Valide,1,3,3,2,4,3,4,4,4,4,4,4,4,2,4,2,16,1,3,3,9,0
114941,U01-003,2022AR01A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,16
114942,U01-011,2022AR01A,Valide,3,1,novote,1,novote,novote,1,novote,novote,novote,novote,4,novote,novote,novote,1,6,4,0,1,1,10
114960,U01-006,2022AR01B,Valide,1,3,2,1,1,3,3,4,4,4,4,1,4,2,3,4,16,4,2,4,6,0
114972,U01-002,2022AR01B,Valide,1,2,1,1,2,3,3,3,3,3,3,2,2,3,3,2,16,3,5,8,0,0
114976,U01-003,2022AR01A,Valide,novote,novote,1,2,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,4,3,1,0,0,12
114977,U01-006,2022AR01B,Valide,2,2,2,1,2,novote,novote,3,2,3,3,3,3,2,3,1,14,2,6,6,0,2
114984,U01-012,2022AR01A,Nul,3,2,2,2,2,3,2,3,3,2 3,3,3,3,2,3,3,15,0,6,9,0,0
114995,U01-006,2022AR01B,Valide,1,1,1,novote,1,novote,1,novote,novote,1,novote,novote,1,1,1,novote,9,9,0,0,0,7
115003,U01-012,2022AR01A,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,15
115009,U01-003,2022AR01B,Valide,1,3,1,1,1,3,4,4,1,3,3,2,4,1,2,4,16,6,2,4,4,0
115026,U01-003,2022AR01A,Valide,novote,novote,novote,novote,novote,novote,1,1,novote,1,novote,1,novote,1,novote,novote,5,5,0,0,0,11
115031,U01-002,2022AR01B,Valide,1,1,novote,2,novote,novote,novote,novote,novote,novote,novote,3,4,4,4,4,8,2,1,1,4,8
115040,U01-012,2022AR01A,Valide,novote,2,2,2,2,1,2,3,3,3,2,2,1,3,1,3,15,3,7,5,0,1
115044,U01-003,2022AR01B,Valide,1,novote,1,novote,novote,novote,1,novote,novote,novote,1,novote,1,novote,novote,novote,5,5,0,0,0,11
115076,U01-012,2022AR01A,Valide,2,2,2,1,2,3,2,1,3,4,3,3,3,1,2,3,16,3,6,6,1,0
115077,U01-006,2022AR01B,Valide,novote,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,1,novote,2,novote,4,3,1,0,0,12
115078,U01-003,2022AR01A,Valide,novote,novote,novote,novote,4,4,novote,novote,novote,novote,novote,novote,1,4,novote,novote,4,1,0,0,3,12
115092,U01-003,2022AR01A,Valide,novote,1,novote,1,novote,novote,novote,novote,3,novote,novote,1,novote,novote,1,novote,5,4,0,1,0,11
115095,U01-006,2022AR01B,Valide,3,3,3,3,novote,3,3,3,3,3,3,3,3,2,4,3,15,0,1,13,1,1
115104,U01-003,2022AR01A,Valide,novote,2,novote,2,novote,novote,novote,novote,1,novote,novote,1,novote,novote,novote,novote,4,2,2,0,0,12
115106,U01-006,2022AR01B,Blanc,novote,novote,novote,novote,novote,novote,novote,1 2 3 4,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,15
115118,U01-003,2022AR01A,Valide,1,3,3,3,4,4,3,4,4,4,4,3,4,4,4,4,16,1,0,5,10,0
115138,U01-003,2022AR01B,Valide,novote,novote,2,novote,novote,1,novote,novote,1,novote,novote,novote,novote,1,1,novote,5,4,1,0,0,11
115162,U01-011,2022AR01A,Valide,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,0,0,0,16,0
115177,U01-012,2022AR01A,Valide,4,2,3,1,2,4,3,4,4,4,4,2,4,2,2,2,16,1,6,2,7,0
115205,U01-003,2022AR01A,Nul,1,1,2,2,1,novote,1,2,2,3,2 3,2,2,1,2,3,14,5,7,2,0,1
115267,U01-011,2022AR01A,Valide,4,novote,novote,2,novote,novote,novote,2,novote,2,novote,2,2,2,2,2,9,0,8,0,1,7
115284,U01-011,2022AR01A,Valide,2,3,4,1,3,4,3,4,4,4,4,3,1,2,4,1,16,3,2,4,7,0
115306,U01-003,2022AR01A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,0,0,0,0
115310,U01-012,2022AR01A,Valide,1,1,2,1,3,2,1,1,1,novote,novote,1,novote,novote,novote,novote,10,7,2,1,0,6
115333,U01-006,2022AR01B,Valide,3,1,1,1,1,2,1,2,2,2,1,1,2,1,1,3,16,9,5,2,0,0
115334,U75-001,2022AR01A,Valide,2,1,novote,1,novote,novote,2,novote,novote,novote,novote,2,novote,novote,novote,novote,5,2,3,0,0,11
115354,U01-003,2022AR01A,Valide,1,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,12
115370,U01-012,2022AR01A,Nul,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,2,2,0,0,0,14
115372,U01-003,2022AR01B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,1,4,4,0,0,0,12
115380,U01-012,2022AR01A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,novote,1,novote,novote,novote,4,4,0,0,0,12
115383,U01-006,2022AR01B,Valide,2,2,1,1,3,3,3,3,3,3,3,3,3,2,3,3,16,2,3,11,0,0
115387,U01-002,2022AR01B,Valide,4,1,3,2,2,1,2,1,1,1,1,3,1,1,1,3,16,9,3,3,1,0
115419,U01-002,2022AR01B,Valide,3,1,1,1,1,1,novote,1,1,1,1,1,1,1,1,1,15,14,0,1,0,1
115458,U01-011,2022AR01A,Valide,1,1,novote,2,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,novote,4,2,2,0,0,12
115487,U01-003,2022AR01A,Valide,2,1,3,2,3,2,2,3,3,3,3,2,2,3,3,2,16,1,7,8,0,0
115497,U01-012,2022AR01A,Nul,2,3,2,1 2,2,3,4,4,2 4,4,4,2 3,2 4,2 3 4,3,4,11,0,3,3,5,0
115502,U01-003,2022AR01A,Valide,3,1,novote,1,2,2,novote,2,1,2,2,1,1,2,3,1,14,6,6,2,0,2
115529,U01-011,2022AR01A,Valide,3,4,1,2,3,3,3,3,3,3,3,3,3,1,2,3,16,2,2,11,1,0
