ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
141504,U18-004,2022AR18B,Valide,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
141508,U18-003,2022AR18A,Valide,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
141514,U18-008,2022AR18A,Valide,2,2,2,2,novote,2,novote,novote,novote,novote,novote,2,2,7,0,7,0,0,6
141519,U18-001,2022AR18B,Valide,novote,novote,novote,1,1,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
141525,U18-011,2022AR18B,Valide,4,3,4,4,2,4,4,1,4,4,4,2,4,13,1,2,1,9,0
141531,U18-005,2022AR18A,Valide,novote,1,novote,novote,3,novote,novote,1,novote,novote,novote,1,novote,4,3,0,1,0,9
141539,U18-001,2022AR18B,Valide,novote,1,1,novote,1,1,2,novote,novote,novote,novote,novote,2,6,4,2,0,0,7
141547,U18-012,2022AR18B,Valide,1,novote,2,3,2,1,1,2,2,2,2,3,1,12,4,6,2,0,1
141550,U18-003,2022AR18A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
141559,U18-001,2022AR18B,Valide,1,novote,novote,novote,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,9
141568,U18-005,2022AR18A,Valide,2,2,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,4,4,0,2,0,2,9
141592,U18-003,2022AR18A,Valide,1,novote,3,novote,novote,novote,3,novote,2,novote,novote,novote,novote,4,1,1,2,0,9
141607,U18-001,2022AR18B,Valide,2,novote,1,novote,2,novote,novote,novote,novote,novote,novote,novote,2,4,1,3,0,0,9
141614,U18-011,2022AR18B,Valide,3,3,2,4,1,3,2,2,4,3,3,4,3,13,1,3,6,3,0
141625,U18-001,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
141629,U18-005,2022AR18A,Nul,2,1,1,3,1,1,2,1,1,1,2,2 3,1,12,8,3,1,0,0
141631,U18-012,2022AR18B,Valide,3,4,1,4,1,1,2,1,3,3,2,4,4,13,4,2,3,4,0
141646,U18-001,2022AR18B,Valide,1,2,1,3,1,4,4,4,3,4,4,4,1,13,4,1,2,6,0
141660,U18-011,2022AR18B,Nul,1,novote,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,3,3,0,0,0,10
141676,U18-011,2022AR18B,Valide,2,2,2,2,1,1,2,2,4,3,3,2,2,13,2,8,2,1,0
141681,U18-003,2022AR18A,Valide,2,2,2,2,1,3,3,4,3,2,2,4,2,13,1,7,3,2,0
141682,U18-005,2022AR18A,Valide,1,1,1,1,2,1,2,1,1,1,1,1,1,13,11,2,0,0,0
141686,U18-012,2022AR18B,Valide,novote,novote,1,novote,1,1,novote,1,novote,1,novote,1,1,7,7,0,0,0,6
141695,U18-011,2022AR18B,Valide,novote,1,novote,1,1,novote,1,novote,novote,novote,novote,novote,1,5,5,0,0,0,8
141696,U18-005,2022AR18A,Valide,1,novote,1,3,novote,novote,3,novote,3,novote,novote,novote,novote,5,2,0,3,0,8
141707,U18-004,2022AR18B,Valide,3,2,1,1,1,1,1,1,1,1,2,2,1,13,9,3,1,0,0
141708,U18-001,2022AR18B,Valide,1,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,novote,5,5,0,0,0,8
141748,U18-005,2022AR18A,Valide,1,2,2,2,1,3,2,3,1,2,2,1,1,13,5,6,2,0,0
141763,U18-011,2022AR18B,Valide,1,novote,novote,novote,1,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
141765,U18-003,2022AR18A,Valide,1,1,1,2,2,1,2,4,2,4,4,2,2,13,4,6,0,3,0
141777,U18-001,2022AR18B,Valide,4,4,2,4,1,2,3,4,4,4,3,4,2,13,1,3,2,7,0
141805,U18-012,2022AR18B,Valide,2,1,1,1,novote,1,3,1,2,3,3,3,1,12,6,2,4,0,1
141827,U18-011,2022AR18B,Valide,2,2,2,1,2,2,3,3,3,2,2,3,1,13,2,7,4,0,0
