ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
319,U06-002,2022AR06A,Valide,1,2,2,1,2,1,1,2,2,2,10,4,6,0,0,0
320,U06-002,2022AR06B,Valide,4,1,1,2,3,2,4,2,1,4,10,3,3,1,3,0
323,U06-002,2022AR06B,Valide,novote,1,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
324,U06-002,2022AR06B,Valide,3,3,1,1,3,3,2,3,3,1,10,3,1,6,0,0
326,U06-002,2022AR06B,Valide,2,3,1,1,1,3,3,3,1,4,10,4,1,4,1,0
330,U06-002,2022AR06B,Valide,3,4,2,novote,novote,novote,novote,novote,novote,4,4,0,1,1,2,6
331,U06-002,2022AR06B,Valide,novote,1,1,1,novote,novote,2,novote,1,3,6,4,1,1,0,4
335,U06-002,2022AR06B,Valide,1,3,1,1,1,1,1,1,1,2,10,8,1,1,0,0
336,U06-002,2022AR06B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
339,U06-002,2022AR06B,Valide,1,novote,1,1,novote,novote,novote,novote,novote,4,4,3,0,0,1,6
340,U06-002,2022AR06A,Valide,4,4,novote,1,novote,novote,novote,4,4,4,6,1,0,0,5,4
341,U06-002,2022AR06A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
345,U06-002,2022AR06B,Valide,novote,1,2,1,novote,novote,novote,novote,1,novote,4,3,1,0,0,6
347,U06-002,2022AR06A,Nul,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,1 2 3,0,0,0,0,0,0
