ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
20186,U13-032,2022AR13A,Valide,3,3,3,1,1,1,1,2,3,3,10,4,1,5,0,0
20196,U13-032,2022AR13A,Valide,2,1,2,2,1,2,1,1,1,2,10,5,5,0,0,0
20216,U13-032,2022AR13A,Valide,1,1,1,novote,1,1,1,1,1,1,9,9,0,0,0,1
20227,U13-032,2022AR13A,Valide,novote,novote,novote,1,1,novote,1,novote,1,novote,4,4,0,0,0,6
20258,U13-081,2022AR13A,Valide,1,2,2,2,2,2,1,1,3,1,10,4,5,1,0,0
20280,U13-085,2022AR13A,Valide,2,1,2,2,1,1,1,1,4,1,10,6,3,0,1,0
20365,U13-032,2022AR13A,Valide,novote,novote,1,1,novote,novote,1,1,novote,novote,4,4,0,0,0,6
20371,U13-066,2022AR13A,Valide,2,2,2,2,4,3,1,1,2,1,10,3,5,1,1,0
20416,U13-051,2022AR13B,Valide,novote,novote,novote,novote,novote,novote,2,2,2,1,4,1,3,0,0,6
20438,U13-021,2022AR13B,Valide,3,2,4,1,2,2,1,3,3,2,10,2,4,3,1,0
20480,U13-032,2022AR13A,Valide,2,1,1,2,3,2,1,2,1,1,10,5,4,1,0,0
20509,U13-032,2022AR13A,Valide,novote,1,novote,novote,4,4,2,novote,2,novote,5,1,2,0,2,5
20516,U13-079,2022AR13B,Nul,novote,2,novote,novote,novote,novote,2,novote,1,novote,3,1,2,0,0,7
20521,U13-079,2022AR13B,Valide,novote,2,novote,novote,novote,novote,2,2,1,novote,4,1,3,0,0,6
